"DISE id","School Name","Management","Medium of Instruction","Category","Sex","Cluster","Block","District","School Type","Assembly","Parliament","Pincode","Address","Landmark","Bus Number","Coordinates","BEO Name","BEO Contact","BEO Mobile","BEO Email","DDPI Name","DDPI Juristiction","DDPI Contact 1","DDPI Contact 2","DDPI Mobile","DDPI Email"
"32079","GKLPS BAHADURPURA","ed","kannada","Lower Primary","co-ed","anekal","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Anekal Post, Anekal Town, Anekal Taluk, Bangalore, Bahadurpura","Behind Ashwath Katte","","POINT(77.69883 12.70502)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32915","GKMPS DOMMASANDRA","ed","kannada","Model Primary","co-ed","dommasandra","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Dommasandra Main Road, Dommasandra Post, Sarjapura Hobli, Anekal Thaluk, Bangalore, Dommasandra","Opp Dommasandra Government Hospital","342,342A,342F,342R,G3","POINT(77.75358 12.88038)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32319","GKHPS BILWARDHANAHALLI","ed","kannada","Lower Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Bannerghatta Post, Jigani Hobli, Anekal Taluk, Shanubhoganahalli","Opposite Shanubhoghanahalli Bus Stop","Atal Sarige, 366 M, 366 MA","POINT(77.56126 12.82638)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32814","GKMPS JIGANI","ed","kannada","Model Primary","co-ed","haragadde","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","560105","Anekal Main Road, Jigani Post, Jigani Hobli, Anekal Taluk, Bangalore, Jigani","Near Maramma Devi Temple","366 Z, 356 P","POINT(77.63578 12.78679)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32327","GKLPS BILWARDHANAHALLI","ed","kannada","Lower Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Anekal Taluk, Jigani Hobli, Billavaradhanahalli","Near Billwaradanahalli Bus Stop","","POINT(77.57473 12.83817)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32811","GKLPS NAYANA HALLI","ed","kannada","Lower Primary","co-ed","haragadde","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Haragadde Post, Anekal Taluk, Nayana Halli","Haragadde To Lingapura Main Road","","POINT(77.6724 12.76275)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32917","GKHPS TIGALACHOUDANA HALLI","ed","kannada","Upper Primary","co-ed","dommasandra","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Dommasandra Post, Sarjapura Hobli, Anekal Taluk, Tigalachoudanahalli","Opposite Yallamma Temple","342, 342 A, 342 R, 342 F, G3","POINT(77.75826 12.88557)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33377","GKLPS MADAPPANAHALLI (MUGALURU)","ed","kannada","Lower Primary","co-ed","mugaluru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Kugur  Post,Anekal taluk,Sarjapur Hobli, Madaappana Halli","Near Madaappana Halli Main Road","329A,323J","POINT(77.8101 12.92259)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32229","GKMBS ATTIBELE","ed","kannada","Model Primary","co-ed","attibele","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Hosur Main Road, Attibele Post, Attibele Hobli, Anekal Taluk, Bangalore, Attibele","Beside Sidlu Basappa Kalyana Mantapa","360, 360 A,360 B, 600","POINT(77.77293 12.77868)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33421","GKLPS S MADIVALA","ed","kannada","Lower Primary","co-ed","sabmangala","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Samandur Post, Kasba Hobli, Anekal Taluk, Bangalore, S.Madiwala","Near S.Madiwala Lake","","POINT(77.75914 12.71135)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32513","GKHPS CHIKKAHOSALLI","ed","kannada","Upper Primary","co-ed","chikkahosahalli","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Thamma Nayakana Halli Post, Anekal Thaluk, Kasab Hobli, Chikka Hosahalli","Near Chikka Hosahalli Bus Stop","KSRTC","POINT(77.64655 12.70511)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32628","GKLPS RAMANAYAKANADODDI","ed","kannada","Lower Primary","co-ed","harappana halli","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Ragihalli Post, Jigani Hobli, Anekal Taluk, Ramanayakana Doodi","","","POINT(77.58853 12.73821)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32810","GKLPS MARUTHINAGARA(JANATHA COLONY)","ed","kannada","Lower Primary","co-ed","haragadde","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","","maruthinagar bus stop","","POINT(77.6560953175 12.7931298227)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32224","GKLPS HAROHALLI (ATTIBELE)","ed","kannada","Lower Primary","co-ed","attibele","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Anekal to Attibele Main Road, Mayasandra Post, Attibele Hobli, Anekal Taluk, Bangalore, Harohalli","Infront Harohalli Bus Stop","399 C","POINT(77.75641 12.75444)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32522","GKLPS CHINNAYYANAPALYA (CHIKKAHOSAHALLI)","ed","kannada","Lower Primary","co-ed","chikkahosahalli","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Indlawadi,Anekak Taluk,Kasba Hobli, Chinnayyapura","Indlawadi Cross,Bannerghatta To Anekal Main Road","","POINT(77.65608 12.72305)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32322","GKHPS MALENALLASANDRA","ed","kannada","Upper Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Jigani Post, Jigani Hobli, Anekal Taluk, Bangalore, Male Nallasandra","Infront Male Nallasandra Bus Stop","365 B, 367","POINT(77.6046 12.80593)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32624","GKLPS MADAPPANADODDI","ed","kannada","Lower Primary","co-ed","harappana halli","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Kallubalu Post, Jigani Hobli, Anekal Taluk, Madappana Doddi","Near Madappana Doddi Bus Stop","366K","POINT(77.59946 12.73444)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32226","GKLPS KODALIPURA","ed","kannada","Lower Primary","co-ed","attibele","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Mayasandra Post, Attibele Hobli, Anekal Taluk, Bangalore, Kodalipura","Beside Baseveshwara Swamy Temple","360 H","POINT(77.75741 12.74572)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32709","GKHPS T GOLAHALLI","ed","kannada","Upper Primary","co-ed","hebbagodi","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","560099","Bommasandra Post, Anekal Taluk, Hosur Road, T. Gollahalli","Near T.Gollahalli Bus Stop","346 M, 600 FA","POINT(77.66747 12.83035)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32630","GKLPS SOLLEPURADODDI","ed","kannada","Lower Primary","co-ed","harappana halli","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106",", bangalore","","","POINT(77.5642695947 12.7290966169)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33407","GKLPS BENDIGANAHALLI (NERLOORU)","ed","kannada","Lower Primary","co-ed","nerlooru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Nerloor Post, Attibele Post, Anekal Taluk, Bangalore South, Bendiganahalli","Infront Anjaneya Temple","","POINT(77.74053 12.8135)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32317","GKHPS BANNERUGHATTA","ed","kannada","Upper Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Anekal Road, Anekal Taluk, Jigani Hobli, Bannerghatta Post, Bannerghatta","Behind Bannerghattra Bus Stop","371D, 365,","POINT(77.58046 12.81402)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32330","GKLPS HULLAHALLI","ed","kannada","Lower Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Hullahalli To Bannerghatta Road, Sakalavara Post, Jigani Hobli, Anekal Taluk, Bangalore, Hullahalli","Infront Big Water Tank (Over Tank)","345, 345 F","POINT(77.62124 12.82729)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33374","GKLPS JANATHA GONDANAHALLI","ed","kannada","Lower Primary","co-ed","mugaluru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Muth Sandra Post,Anekal taluk,Sarjapur Hobli, Janth Gondana Halli","Near  Janth Gondana Halli Bus Stop","329A,329B,323B,323J","POINT(77.78589 12.92369)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33371","GKLPS GONIGATTAPURA","ed","kannada","Lower Primary","co-ed","mugaluru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562125","Kugur  Post,Anekal taluk,Sarjapur Hobli, Gonighatta Pura","Behide Gonighatta Pura Bus Stop","323A,323B,323M,323C","POINT(77.79416 12.91267)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32958","GKLPS S MEDAHALLI","ed","kannada","Lower Primary","co-ed","sarjapura","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Bidaraguppe Post, Srajapura Hoblik, Anekal Taluk, S. Medahalli","Near S. Medahalli Bus Stop","328 H A, 328 D, 501","POINT(77.78557 12.82416)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32414","GKLPS T B C KOONMADIVALA","ed","kannada","Lower Primary","co-ed","byagadadenahalli","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Soppahalli Road, Sidi Hosakote Post, Kasaba Hobli, Anekal Taluk, Bangalore, Konnamadivala","Compound Inside T.B.C (Bricks Factory)","361","POINT(77.68986 12.75893)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32324","GKLPS RAMASANDRA (BANNERUGHATTA)","ed","kannada","Lower Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Yelahanka","Chikkballapur","560064","Singnayakanahalli Post, N-3, Yelahanaka Hobli","Next Ramagondanahalli Milk Dairy","285 B","POINT(77.55876 13.11935)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33402","GKHPS BALAGARANA HALLI","ed","kannada","Upper Primary","co-ed","nerlooru","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Neralur Post, Attibele Hobli, Anekal Taluk, Bangalore, Balagaranahalli","Infront Ashwath Katte","360, 360A, 360B","POINT(77.73524 12.78497)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32416","GKLPS YELLAMMANAPALYA","ed","kannada","Lower Primary","co-ed","byagadadenahalli","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Sidi Hosakote Post, Kasaba Hobli, Anekal Taluk, Bangalore, Yallammana Palya","Opposite Gangamma Temple","361","POINT(77.68409 12.75266)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32401","GKHPS MARSUR","ed","kannada","Upper Primary","co-ed","byagadadenahalli","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Marasuru Post, Anekal Taluk, Bangalore, Marasuru","Near Marasuru School Bus Stop","350 A, 354","POINT(77.71404 12.76478)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32220","GKMPS MAYASANDRA","ed","kannada","Model Primary","co-ed","attibele","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Anekal to Attibele Main Road, Mayasandra Post, Attibele Hobli, Anekal Taluk, Bangalore, Mayasandra","Opposite Grama Panchayath Mayasandra Library","358 A, 399 C","POINT(77.74803 12.75047)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32516","GKHPS SIDIHOSAKOTE","ed","kannada","Upper Primary","co-ed","chikkahosahalli","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Kasaba Hobli, Anekal Taluk, Sidihosakote Post, Sidihosakote Village","Near Sidihosakote Bus Stop","316","POINT(77.68706 12.72921)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33419","GKLPS HOMPALAGHATTA","ed","kannada","Lower Primary","co-ed","sabmangala","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Samandur Panchayath, Venkanahalli Post, Kasaba Hobli, Anekal Taluk, Bangalore, Hompalaghatta","Beside Anjaneya Temple","","POINT(77.69935 12.6951)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33390","GUHPS ADIGARAKALLAHALLI","ed","urdu","Upper Primary","co-ed","anekal urdu","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562107","Bidaraguppe Post, Srajapura Hoblik, Anekal Taluk, Adigarakallahalli","Near Adigarakallahalli Bus Stop","342 K Last Stop","POINT(77.80437 12.82579)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32809","GKLPS H. MANCHANAHALLI","ed","kannada","Lower Primary","co-ed","jigani","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","560105","Double Road, Jigani Post, Jigani Hobli, Anekal Taluk, Bangalore, H.Manchanahalli (Jigani)","Infront Gangamma Temple","366 Z, 356 P, 372, 366","POINT(77.62943 12.7831)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33422","GKLPS S THIMMASANDRA (SABMANGALA)","ed","kannada","Lower Primary","co-ed","sabmangala","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Samandur Post, Kasba Hobli, Anekal Taluk, Bangalore, S.Thimmasandra","Near Basaweshwara Temple & Ayyappa Temple","","POINT(77.75493 12.70821)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32328","GKLPS CHETHEKERE PALYA(CK PALYA)","ed","kannada","Lower Primary","co-ed","bannerughatta","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","562106","Sakalavara Post, Jigani Hobli, Anekal Taluk, Bangalore, Chatekere Palya","Near Chatekere Palya Kere","367","POINT(77.60944 12.83238)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"32631","GKLPS VADERAMANCHANAHALLI","ed","kannada","Lower Primary","co-ed","harappana halli","anekal","bangalore u south","primary","Bangalore South","Bangalore Rural","560105","Kallubalu Post, Jigani Hobli, Anekal Taluk, Bangalore, Vadera Manchanahalli","Opposite Muneshwara And Anjaneya Swamy Temple","372, 376","POINT(77.63062 12.76928)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
"33426","GKLPS BIDARAGERE","ed","kannada","Lower Primary","co-ed","sabmangala","anekal","bangalore u south","primary","Anekal","Bangalore Rural","562106","Bestamanahalli Post, Kasaba Hobli, Anekal Taluk, Bangalore, Bidaragere","Opposite Basaveshwara Swamy Temple","","POINT(77.72297 12.71472)","D.R.Ramamurthy","080-7829293","9480695024","beo-ank.edu.karbng@kar.nic.in","Ashwatha Narayana Gowda","DDPI, Bangalore South","P : 080-26701189","F : 080-26705692","M : 9448999327","ddpi-s.edu.karbng@nic.in"
